number_of_nodes_first_material, number_of_nodes_second_material, maximum_error_equivalent_resistance, maximum_error_linear_interpolation
3, 3, 5.115908e-13, 1.875000e+00, 
3, 4, 1.136868e-13, 1.446429e+00, 
3, 5, 6.252776e-13, 1.177326e+00, 
3, 6, 1.705303e-13, 9.926471e-01, 
3, 7, 5.684342e-13, 8.580508e-01, 
3, 8, 4.547474e-13, 7.555970e-01, 
3, 9, 5.115908e-13, 6.750000e-01, 
4, 3, 1.705303e-13, 1.808036e+00, 
4, 4, 1.705303e-13, 1.406250e+00, 
4, 5, 5.684342e-14, 1.150568e+00, 
4, 6, 3.410605e-13, 9.735577e-01, 
4, 7, 6.821210e-13, 8.437500e-01, 
4, 8, 5.684342e-14, 7.444853e-01, 
4, 9, 6.821210e-13, 6.661184e-01, 
5, 3, 1.136868e-12, 1.745690e+00, 
5, 4, 6.252776e-13, 1.368243e+00, 
5, 5, 2.273737e-13, 1.125000e+00, 
5, 6, 9.663381e-13, 9.551887e-01, 
5, 7, 9.094947e-13, 8.299180e-01, 
5, 8, 6.252776e-13, 7.336957e-01, 
5, 9, 2.501110e-12, 6.574675e-01, 
6, 3, 1.136868e-13, 1.687500e+00, 
6, 4, 1.136868e-13, 1.332237e+00, 
6, 5, 1.477929e-12, 1.100543e+00, 
6, 6, 1.421085e-12, 9.375000e-01, 
6, 7, 1.250555e-12, 8.165323e-01, 
6, 8, 3.979039e-13, 7.232143e-01, 
6, 9, 1.364242e-12, 6.490385e-01, 
7, 3, 1.705303e-13, 1.633065e+00, 
7, 4, 1.193712e-12, 1.298077e+00, 
7, 5, 1.421085e-12, 1.077128e+00, 
7, 6, 1.136868e-12, 9.204545e-01, 
7, 7, 2.216893e-12, 8.035714e-01, 
7, 8, 1.705303e-12, 7.130282e-01, 
7, 9, 7.958079e-13, 6.408228e-01, 
8, 3, 4.547474e-13, 1.582031e+00, 
8, 4, 4.547474e-13, 1.265625e+00, 
8, 5, 4.547474e-13, 1.054688e+00, 
8, 6, 7.958079e-13, 9.040179e-01, 
8, 7, 1.193712e-12, 7.910156e-01, 
8, 8, 3.979039e-13, 7.031250e-01, 
8, 9, 1.648459e-12, 6.328125e-01, 
9, 3, 2.160050e-12, 1.534091e+00, 
9, 4, 2.273737e-12, 1.234756e+00, 
9, 5, 8.526513e-13, 1.033163e+00, 
9, 6, 1.136868e-12, 8.881579e-01, 
9, 7, 1.364242e-12, 7.788462e-01, 
9, 8, 9.663381e-13, 6.934932e-01, 
9, 9, 2.103206e-12, 6.250000e-01, 
