number_of_nodes_first_material, number_of_nodes_second_material, maximum_error_equivalent_resistance, maximum_error_linear_interpolation
3, 3, 1.136868e-13, 2.250000e+00, 
3, 4, 3.979039e-13, 1.659836e+00, 
3, 5, 2.842171e-13, 1.314935e+00, 
3, 6, 6.821210e-13, 1.088710e+00, 
3, 7, 7.389644e-13, 9.288991e-01, 
3, 8, 1.307399e-12, 8.100000e-01, 
3, 9, 1.136868e-12, 7.180851e-01, 
4, 3, 7.958079e-13, 2.154255e+00, 
4, 4, 6.252776e-13, 1.607143e+00, 
4, 5, 1.136868e-12, 1.281646e+00, 
4, 6, 7.389644e-13, 1.065789e+00, 
4, 7, 9.094947e-13, 9.121622e-01, 
4, 8, 3.979039e-13, 7.972441e-01, 
4, 9, 3.410605e-13, 7.080420e-01, 
5, 3, 1.307399e-12, 2.066327e+00, 
5, 4, 9.663381e-13, 1.557692e+00, 
5, 5, 1.477929e-12, 1.250000e+00, 
5, 6, 6.821210e-13, 1.043814e+00, 
5, 7, 2.330580e-12, 8.960177e-01, 
5, 8, 1.136868e-12, 7.848837e-01, 
5, 9, 2.842171e-12, 6.982759e-01, 
6, 3, 4.547474e-13, 1.985294e+00, 
6, 4, 2.216893e-12, 1.511194e+00, 
6, 5, 2.557954e-12, 1.219880e+00, 
6, 6, 1.762146e-12, 1.022727e+00, 
6, 7, 2.273737e-13, 8.804348e-01, 
6, 8, 3.979039e-13, 7.729008e-01, 
6, 9, 1.477929e-12, 6.887755e-01, 
7, 3, 5.115908e-13, 1.910377e+00, 
7, 4, 1.762146e-12, 1.467391e+00, 
7, 5, 1.193712e-12, 1.191176e+00, 
7, 6, 6.252776e-13, 1.002475e+00, 
7, 7, 1.989520e-12, 8.653846e-01, 
7, 8, 2.160050e-12, 7.612782e-01, 
7, 9, 1.477929e-12, 6.795302e-01, 
8, 3, 6.252776e-13, 1.840909e+00, 
8, 4, 2.216893e-12, 1.426056e+00, 
8, 5, 1.080025e-12, 1.163793e+00, 
8, 6, 1.250555e-12, 9.830097e-01, 
8, 7, 1.591616e-12, 8.508403e-01, 
8, 8, 3.979039e-13, 7.500000e-01, 
8, 9, 1.080025e-12, 6.705298e-01, 
9, 3, 3.069545e-12, 1.776316e+00, 
9, 4, 2.387424e-12, 1.386986e+00, 
9, 5, 2.728484e-12, 1.137640e+00, 
9, 6, 2.728484e-12, 9.642857e-01, 
9, 7, 2.330580e-12, 8.367769e-01, 
9, 8, 3.979039e-12, 7.390511e-01, 
9, 9, 1.818989e-12, 6.617647e-01, 
